,Canada Warbler,,,Cerulean Warbler,,,Golden-winged Warbler,,,Wood Thrush,,
Model,Brier Score,AUC,Deviance,Brier Score,AUC,Deviance,Brier Score,AUC,Deviance,Brier Score,AUC,Deviance
R1,0.0046,0.871,2607.3,0.0073,0.8682,3255.5,0.002,0.9065,1128.8,0.3277,0.7083,40680.7
E1,0.0041,0.8712,2472.4,0.0027,0.8897,3163.3,6.00E-04,0.871,1119.3,0.366,0.716,40373
E2,0.0039,0.878,2768,0.0062,0.8855,3449.3,0.0026,0.9112,1183.3,0.262,0.7232,42161
E3,0.0032,0.8615,2903.5,0.0062,0.8923,3509.7,0.0018,0.9209,1215.4,0.2617,0.7222,42260.1
E4,0.0047,0.8727,2588.8,0.0073,0.8668,3263.3,0.002,0.9048,1123.3,0.3281,0.7083,40676
R2,0.0138,0.8396,1033.8,0.0121,0.8938,828.4,0.0042,0.9452,293.1,0.1432,0.7872,6810.8
O1,0.0138,0.8477,1022.5,0.0121,0.8965,825.4,0.0042,0.9452,293.6,0.1453,0.7845,6895.8
O2,0.0135,0.8883,902,0.0116,0.9422,716.5,0.0039,0.972,254.1,0.1355,0.8075,6495.8
O3,0.0135,0.8861,902.8,0.0116,0.92,753.9,0.004,0.9634,263.6,0.1362,0.8031,6538.4
